품목,브랜드,모델명,용량
Internal SSD,Crucial,CRUCIAL MX500,512GB
Internal SSD,Crucial,CRUCIAL P1,1TB
Internal SSD,Crucial,CRUCIAL P1,2TB
Internal SSD,Crucial,CRUCIAL P1,512GB
Internal SSD,Crucial,CRUCIAL P2,1TB
Internal SSD,Crucial,CRUCIAL P2,256GB
Internal SSD,Crucial,CRUCIAL P2,2TB
Internal SSD,Crucial,CRUCIAL P2,512GB
Internal SSD,Crucial,CRUCIAL P3,1TB
Internal SSD,Crucial,CRUCIAL P3,2TB
