품목,브랜드,모델명,용량
Internal SSD,Crucial,1300,256GB
Internal SSD,Crucial,BX200,256GB
Internal SSD,Crucial,BX200,512GB
Internal SSD,Crucial,CRUCIAL BX100,512GB
Internal SSD,Crucial,CRUCIAL BX300,512GB
Internal SSD,Crucial,CRUCIAL BX500,1TB
Internal SSD,Crucial,CRUCIAL BX500,256GB
Internal SSD,Crucial,CRUCIAL BX500,2TB
Internal SSD,Crucial,CRUCIAL BX500,512GB
Internal SSD,Crucial,CRUCIAL M500,1TB
Internal SSD,Crucial,CRUCIAL M550,512GB
Internal SSD,Crucial,CRUCIAL MX100,256GB
Internal SSD,Crucial,CRUCIAL MX100,512GB
Internal SSD,Crucial,CRUCIAL MX200,256GB
Internal SSD,Crucial,CRUCIAL MX300,512GB
Internal SSD,Crucial,CRUCIAL MX500,1TB
Internal SSD,Crucial,CRUCIAL MX500,256GB
Internal SSD,Crucial,CRUCIAL MX500,2TB
Internal SSD,Crucial,CRUCIAL MX500,4TB
